phase,concept,setting,baseline_or_random_mean,cluster_mean,cluster_minus_random,classification,details
phase5_alpha_sweep,fast,alpha=2.5,0.007003559170580723,0.0059636979304517855,-0.0010398612401289371,,
phase5_alpha_sweep,fast,alpha=5.0,0.006720626061449874,0.005816073331134053,-0.0009045527303158211,,
phase5_alpha_sweep,fast,alpha=10.0,0.006380369864288264,0.0060813380865559,-0.0002990317777323637,,
phase5_alpha_sweep,risk,alpha=2.5,0.008027923733012211,0.005101149382429961,-0.00292677435058225,,
phase5_alpha_sweep,risk,alpha=5.0,0.007736710560041426,0.004148362044316261,-0.0035883485157251656,,
phase5_alpha_sweep,risk,alpha=10.0,0.007345258277486623,0.003434506345516862,-0.003910751931969761,,
phase6_init_state_transfer,fast,clean,0.006505860647483783,0.006033175516183225,-0.00047268513130055857,collapse=1; stable=3,none_mean=0.008390
phase6_init_state_transfer,risk,clean,0.007541904528336098,0.0027529201540636827,-0.0047889843742724165,stable=4,none_mean=0.008390
phase7_brightness,fast,brightness,0.006588050269651384,0.006019137748884511,-0.000568912520766874,stable,flip=1; stable=3
phase7_brightness,risk,brightness,0.007656259990329588,0.0027552075475837995,-0.004901052442745789,stable,stable=4
phase7_occlusion,fast,occlusion,0.006650176335487332,0.006256934243690077,-0.00039324209179725537,stable,stable=4
phase7_occlusion,risk,occlusion,0.007843748724586147,0.002843549083599147,-0.005000199640987,stable,stable=4
